ranking_position|title|score|n_episodes|start_aired_date|end_aired_date|status|synopsis|genres|scrape_timestamp
282|Liz to Aoi Tori|8.23|1|21/04/2018||Finished Airing|Liz's days of solitude come to an end when she meets a blue bird in the form of a young girl. Although their relationship blossoms, Liz must make a heart-wrenching decision in order to truly realize her love for Blue Bird. High school seniors and close friends Mizore Yoroizuka and Nozomi Kasaki are tasked to play the lead instruments in the third movement of Liz and the Blue Bird, a concert band piece inspired by this fairy tale. The introverted and reserved Mizore plays the oboe, representing the kind and gentle Liz. Meanwhile, the radiant and popular Nozomi plays the flute, portraying the cheerful and energetic Blue Bird. However, as they rehearse, the distance between Mizore and Nozomi seems to grow. Their disjointed duet disappoints the band, and with graduation on the horizon, uncertainty about the future spurs complicated emotions. With little time to improve as their performance draws near, they desperately attempt to connect with their respective characters. But when Mizore and Nozomi consider the story from a brand-new perspective, will the girls find the strength to face harsh realities? A spin-off film adaptation of the Hibike Euphonium! series, Liz to Aoi Tori dances between the parallels of a charming fairy tale, a moving musical piece, and a delicate high school friendship. [Written by MAL Rewrite]|['Drama', 'Music', 'School']|2020-11-07 18:14:25.738167
283|Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari|8.23|1|06/10/2012||Finished Airing|Madoka Kaname and her best friend Sayaka Miki are ordinary middle school students in the city of Mitakihara. But one day, they encounter a strange cat-like creature named Kyuubey, who claims he can grant them one wish. In exchange, they would become magical girls and fight against evil perpetrated by witches. A veteran magical girl in the area, Mami Tomoe, decides to show them how to hunt witches, while the mysterious transfer student Homura Akemi warns them to not take Kyuubey's deal, though she refuses to say why. However, after witnessing the brutal reality of fighting witches, the girls decide it may be safer to decline Kyuubey's offer. But when another magical girl arrives in the city and Sayaka decides to make a wish to help the one she loves, things quickly escalate as they are confronted with the harsh truth behind their powers and the ultimate price of their wishes. [Written by MAL Rewrite]|['Psychological', 'Drama', 'Magic', 'Thriller']|2020-11-07 18:14:28.450417
284|Major: Message|8.23|1|17/12/2010||Finished Airing|Thirteen years after achieving major success with the Indiana Hornets, Gorou Honda's career as a pitcher ended abruptly after sustaining a horrible injury. Inspired by his father, who continued playing baseball despite major setbacks, Gorou plans to restart his baseball career and play in a new position. However, his strong dedication to train has puzzled his family, especially his young daughter Izumi, who is frustrated with the absence of her father from her lives. Faced by another tough obstacle, Gorou once again decides to prove his resolve through his beloved sport. [Written by MAL Rewrite]|['Comedy', 'Drama', 'Shounen', 'Sports']|2020-11-07 18:14:30.444085
285|Berserk: Ougon Jidai-hen III - Kourin|8.22|1|01/02/2013||Finished Airing|The Band of the Hawk has dwindled in the year since Guts left them on his journey to forge his own destiny. Unaware of their fate, Guts returns to the Hawks—now being led by his former ally Casca—after a rumor about them passes his way. Once the saviors of the kingdom of Midland, the Band of the Hawk are now hunted as they desperately fight for their lives while plotting to free their leader, Griffith, after he was imprisoned for committing treason. But the man they save is far from the Griffith they remember. Griffith is a shell of his former charismatic self after a year of continuous, horrific torture. No longer able to walk, speak, or even hold a sword, he has nothing but the small, strange trinket, the Crimson Behelit, that will not leave him. The entire Band of the Hawk want to rise to greatness once more, but how much are they willing to sacrifice to return to their past glory? It doesn't seem possible, but when Griffith's heart darkens and a solar eclipse blackens the sky, the Behelit offers a choice that will leave the Band of the Hawk with a blood-soaked fate that will haunt them for the rest of their days. [Written by MAL Rewrite]|['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Seinen', 'Supernatural']|2020-11-07 18:14:32.832124
286|Bungou Stray Dogs 2nd Season|8.22|12|06/10/2016|16/12/2016|Finished Airing|Despite their differences in position, three men—the youngest senior executive of the Port Mafia, Osamu Dazai, the lowest ranking member, Sakunosuke Oda, and the intelligence agent, Angou Sakaguchi—gather at the Lupin Bar at the end of the day to relax and take delight in the company of friends. However, one night, Angou disappears. A photograph taken at the bar is all that is left of the three together. Fast forward to the present, and Dazai is now a member of the Armed Detective Agency. The Guild, an American gifted organization, has entered the fray and is intent on taking the Agency's work permit. They must now divide their attention between the two groups, the Guild and the Port Mafia, who oppose their very existence.    [Written by MAL Rewrite]|['Action', 'Mystery', 'Seinen', 'Super Power', 'Supernatural']|2020-11-07 18:14:35.980811
287|Cardcaptor Sakura Movie 2: Fuuin Sareta Card|8.22|1|15/07/2000||Finished Airing|"For this year's Nadeshiko Festival, Sakura Kinomoto's elementary school class is presenting a play. She will portray a princess who struggles to respond to the love confession of the neighboring country's prince. Sakura empathizes with her character all too well, since she herself still owes an answer to the boy who confessed his love for her four months ago. When cousins Shaoran and Meiling Li return from Hong Kong to pay a surprise visit to their friends in Japan, Sakura receives further encouragement to finally declare her feelings. However, she is repeatedly distracted by a presence reminiscent of a Clow Card as well as unexplained disappearances around town. Eventually, Sakura learns of another of Clow Reed's creations—the ""Nothing""—which was formerly sealed away beneath the magician's old house. It has power equal to all 52 cards Sakura possesses, and furthermore, it wants to take those cards away from her! Objects, space, and people disappear from Tomoeda with each card that is stolen. Sakura sets out to capture the Nothing so everything will return to normal, but what must she sacrifice in the process? [Written by MAL Rewrite] "|['Comedy', 'Drama', 'Fantasy', 'Magic', 'Romance', 'Shoujo']|2020-11-07 18:14:38.474955
288|Fruits Basket 1st Season|8.22|25|06/04/2019|21/09/2019|Finished Airing|"Tooru Honda has always been fascinated by the story of the Chinese Zodiac that her beloved mother told her as a child. However, a sudden family tragedy changes her life, and subsequent circumstances leave her all alone. Tooru is now forced to live in a tent, but little does she know that her temporary home resides on the private property of the esteemed Souma family. Stumbling upon their home one day, she encounters Shigure, an older Souma cousin, and Yuki, the ""prince"" of her school. Tooru explains that she lives nearby, but the Soumas eventually discover her well-kept secret of being homeless when they see her walking back to her tent one night. Things start to look up for Tooru as they kindly offer to take her in after hearing about her situation. But soon after, she is caught up in a fight between Yuki and his hot-tempered cousin, Kyou. While trying to stop them, she learns that the Souma family has a well-kept secret of their own: whenever they are hugged by a member of the opposite sex, they transform into the animals of the Chinese Zodiac. With this new revelation, Tooru will find that living with the Soumas is an unexpected adventure filled with laughter and romance. [Written by MAL Rewrite]"|['Comedy', 'Drama', 'Romance', 'Shoujo', 'Slice of Life', 'Supernatural']|2020-11-07 18:14:41.506203
289|Hunter x Hunter: Greed Island|8.22|8|05/02/2003|16/04/2003|Finished Airing|"After the battle with the Spiders, the search for Ging continues as Gon and Killua decided to once again attempt to purchase the rare game ""Greed Island"". However, Gon came up with a better plan, which was to volunteer to complete the game for the billionaire who owned it. But some training must be done, as Gon and Killua's abilities are still at a developing stage and ""Greed Island"" is no simple game for anyone to play with. It is the infamous game that could easily lead to one's death. Based on the manga by Togashi Yoshihiro. "|['Action', 'Adventure', 'Super Power', 'Fantasy', 'Shounen']|2020-11-07 18:14:44.433434
290|Non Non Biyori Movie: Vacation|8.22|1|25/08/2018||Finished Airing|Summer vacation is drawing to an end. When Suguru wins a free trip to Okinawa, all of the five students of Asahigaoka branch school are excited to end their vacation with a bang. Along with Hikage, Konomi, and their teacher and the candy store owner, everyone goes to Okinawa for a fun three-day trip. There, Natsumi makes friends with Aoi, the girl who helps out at the hotel they stay in. (Source: ANN)|['Comedy', 'Seinen', 'Slice of Life']|2020-11-07 18:14:47.150593
291|Quanzhi Gaoshou 2|8.22|12|25/09/2020||Currently Airing|A continuation of Quanzhi Gaoshou series.|['Action', 'Game']|2020-11-07 18:14:49.103232
292|Toki wo Kakeru Shoujo|8.22|1|15/07/2006||Finished Airing|Makoto Konno is in her last year of high school, but is having a hard time deciding what to do with her future. In between enduring the pressure of her teachers and killing time with her best friends, Makoto's life suddenly changes when she accidentally discovers that she is capable of literally leaping through time. Toki wo Kakeru Shoujo follows Makoto as she plays around with her newfound power. However, she soon learns the hard way that every choice has a consequence, and time is a lot more complicated than it may seem. [Written by MAL Rewrite]|['Adventure', 'Drama', 'Romance', 'Sci-Fi']|2020-11-07 18:14:51.391272
293|Wu Liuqi Zhi Zui Qiang Fa Xing Shi|8.22|10|23/10/2019|01/01/2020|Finished Airing|Seeking to recover his memories, a scissor-wielding hairdresser, bungling quasi-assassin stumbles into a struggle for power among two feuding factions. (Source: IMDb)|['Action', 'Mystery', 'Comedy', 'Super Power', 'Drama', 'Martial Arts']|2020-11-07 18:14:53.399456
294|One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari|8.21|1|24/08/2013||Finished Airing|The story arcs aboard the Straw Hat Crew's first ship Going Merry (Merry Go in some adaptations) are recreated with brand-new animation, from Luffy and Usopp's fight and Robin's disappearance to the crew's final farewell to the ship. Going Merry is treated as another member of the Straw Hats as Luffy, Zoro, Nami, and the rest of the crew set sail for the legendary treasure, the One Piece. (Source: ANN)|['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen', 'Super Power']|2020-11-07 18:14:55.991829
295|Ouran Koukou Host Club|8.21|26|05/04/2006|27/09/2006|Finished Airing|"Haruhi Fujioka is a bright scholarship candidate with no rank or title to speak of—a rare species at Ouran Academy, an elite school for students of high pedigree. When she opens the door to Music Room #3 hoping to find a quiet place to study, Haruhi unexpectedly stumbles upon the Host Club. Led by the princely Tamaki Suou, the club—whose other members include the ""Shadow King"" Kyouya Ootori; the mischievous Hitachiin twins, Kaoru and Hikaru; the childlike Mitsukuni Haninozuka, also known as ""Honey""; and his strong protector Takashi ""Mori"" Morinozuka—is where handsome boys with too much time on their hands entertain the girls in the academy. In a frantic attempt to remove herself from the hosts, Haruhi ends up breaking a vase worth eight million yen and is forced into becoming the eccentric group's general errand boy to repay her enormous debt. However, thanks to her convincingly masculine appearance, her naturally genial disposition toward girls, and fascinating commoner status, she is soon promoted to full-time male host. And before long, Haruhi is plunged into a glitzy whirlwind of elaborate cosplays, rich food, and exciting shenanigans that only the immensely wealthy Host Club can pull off. [Written by MAL Rewrite]"|['Comedy', 'Harem', 'Romance', 'School', 'Shoujo']|2020-11-07 18:14:59.080360
296|Sakura-sou no Pet na Kanojo|8.21|24|09/10/2012|26/03/2013|Finished Airing|When abandoned kittens and his good conscience force second year Sorata Kanda to move into Suimei High School’s infamous Sakura Hall, the satellite dorm and its eccentric, misfit residents turn his life upside down. The decidedly average Sorata finds it difficult to fit in with the bizarre collection of dorm residents like Misaki, an energetic animator; Jin, a playwright playboy; Ryuunosuke, a reclusive programmer; and Chihiro, the dorm manager, art teacher, and party girl. Sorata's friend Nanami, a second year student and aspiring voice actress, pushes him to find new owners for the many cats so that he can quickly move back into the regular dorms. However, his desire to escape Sakura Hall wavers when the pet-like and infantile second year Mashiro Shiina, a world-class artistic savant looking to become a mangaka, transfers in during the spring trimester and quickly latches onto him. Supported by each other's quirks, Sorata and Mashiro come out of their shells and trigger change in the lives of those around them. Based on the light novel series of the same name, Sakurasou no Pet na Kanojo explores the fine threads connecting talent, hard work, romance, and friendship with its ensemble cast. [Written by MAL Rewrite]|['Slice of Life', 'Comedy', 'Drama', 'Romance', 'School']|2020-11-07 18:15:01.635358
297|Tsuki ga Kirei|8.21|12|07/04/2017|30/06/2017|Finished Airing|With a new school year comes a new crowd of classmates, and for their final year of junior high, aspiring writer Kotarou Azumi and track team member Akane Mizuno end up in the same class. Though initially complete strangers, a few chance encounters stir an innocent desire within their hearts. A yearning gaze, a fluttering heart—the hallmarks of young love slip into their lives as fate brings their paths to a cross. However, though love is patient and love is kind, Kotarou and Akane discover it is not always straightforward. Despite the comfort they find in each other's company, heartache and anxiety come hand in hand with pursuing the feelings in their hearts. With the uncertainty of how the other truly feels as well as the competing affections of those around them, the road ahead is unclear. Even so, under the shining light of a beautiful full moon, Kotarou gathers his courage to ask Akane a single question, one that forever changes their quiet relationship. [Written by MAL Rewrite]|['Romance', 'School']|2020-11-07 18:15:04.495284
298|Working!!!: Lord of the Takanashi|8.21|1|30/03/2016||Finished Airing|The light-hearted Working!! franchise comes to a close in this final episode of the concluding season. Will Aoi Yamada get the closure she so desperately needs with her distant mother? Will the relationship between Yachiyo Todoroki and Jun Satou continue to remain stagnant and awkward? Perhaps even Souta Takanashi and Mahiru Inami will take a step forward in deepening their eccentric friendship. And in the end, Wagnaria Restaurant might finally get a new chief! Beautifully connected, all these events intertwine to give these characters a final ending to their stories. [Written by MAL Rewrite]|['Comedy', 'Romance', 'Seinen', 'Slice of Life']|2020-11-07 18:15:06.716442
299|Aria the Natural|8.21|26|03/04/2006|25/09/2006|Finished Airing|Akari Mizunashi continues her training to become a Prima Undine (a professional tour guide gondolier) along with her friends Aika and Alice in the peaceful city of Neo Venezia. Despite the fact that these three girls are from competing companies, they are constantly together, learning more about how to become better tour guides and more about the mysteries of Neo Venezia. As the group continues to meet interesting and unforgettable people through their daily routines, they will also come closer to the secrets that make the enigmatic and ever beautiful city of Neo Venezia so warm and alive. Welcome back to Neo Venezia: the city where miracles can be created by hand. [Written by MAL Rewrite]|['Sci-Fi', 'Slice of Life', 'Fantasy', 'Shounen']|2020-11-07 18:15:09.035183
300|Death Parade|8.21|12|10/01/2015|28/03/2015|Finished Airing|After death, there is no heaven or hell, only a bar that stands between reincarnation and oblivion. There the attendant will, one after another, challenge pairs of the recently deceased to a random game in which their fate of either ascending into reincarnation or falling into the void will be wagered. Whether it's bowling, darts, air hockey, or anything in between, each person's true nature will be revealed in a ghastly parade of death and memories, dancing to the whims of the bar's master. Welcome to Quindecim, where Decim, arbiter of the afterlife, awaits! Death Parade expands upon the original one-shot intended to train young animators. It follows yet more people receiving judgment—until a strange, black-haired guest causes Decim to begin questioning his own rulings. [Written by MAL Rewrite]|['Game', 'Mystery', 'Psychological', 'Drama', 'Thriller']|2020-11-07 18:15:12.126159
301|Ginga Eiyuu Densetsu: Die Neue These - Seiran 3|8.21|4|29/11/2019||Finished Airing|At the behest of Admiral Yang Wen-li, defected intelligence officer Commander Baghdash makes an emergency broadcast announcing that the National Salvation Military Council staged a coup under the direction of the Galactic Empire. Despite the lack of physical evidence, this debilitating declaration inspires former Rear Admiral Andrew Lynch to reveal his own role in sowing discord within the Free Planets Alliance. A fatal shootout between Lynch and Admiral Dwight Greenhill acts as the final death knell to the short-lived period of martial rule. Within the Galactic Empire, footage of Duke Otto von Braunschweig's nuclear bombing of Westerland results in the dissolution of the Lippstadt League. Marquis Reinhard von Lohengramm's decision to allow the massacre for personal gain creates a rift between him and High Admiral Siegfried Kircheis, souring the taste of their inevitable victory. Now on the cusp of achieving absolute power, Reinhard is embattled by his apparent personal failings and the heavy responsibilities of leadership. Though the civil wars in both the Alliance and the Empire are coming to a close, neither side can ever regain what is lost. Yang Wen-li and Reinhard von Lohengramm each take bitter solace in the knowledge that just on the other side of the galaxy is a worthy opponent—and a true equal. [Written by MAL Rewrite]|['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']|2020-11-07 18:15:14.318460
302|Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen|8.21|1|25/04/2015||Finished Airing|After Akihito Kanbara reunites with Mirai Kuriyama—whom he believed had vanished after defeating Beyond the Boundary—he discovers a heartbreaking fact: Mirai has lost all memory of him, their friends, and her past as a Spirit Warrior. Akihito is utterly devastated, but realizes that she has a unique opportunity. Mirai can finally live the life of a normal girl—where she'll be completely devoid of the supernatural society that both shunned and used her. While it's all for the sake of Mirai's happiness, the price is costly—Akihito and his friends must keep her true origins a secret from her, and as a result avoid befriending her.  However, the troubling memories of Mirai's old life gradually begin to resurface, and a mysterious new evil leads a group of shadow-like creatures into the city with the goal of seeking her out. As the situations become dire, Akihito must fight to protect himself, his closest friends, and Mirai—the bespectacled beauty he holds most dear.  [Written by MAL Rewrite] |['Fantasy', 'Slice of Life', 'Supernatural']|2020-11-07 18:15:16.452054
303|Black Lagoon: The Second Barrage|8.2|12|03/10/2006|19/12/2006|Finished Airing|"Rokurou ""Rock"" Okajima has joined the Lagoon Company, a pirate mercenary group which operates out of Roanapur, Thailand. Despite his initial protests, this filthy slum of depraved souls and merciless criminals now serves as the former salaryman's home. Stranded, with nothing left of his past life but the clothes on his back and his inner morality, Rock is forced to perform jobs alongside the other members of the Lagoon crew. Berated for his lack of spine as he wades through the underbelly of society, he must decide whether to continue on amidst the gunfire and ruthlessness or risk everything he has in an attempt to be free. Whether he chooses the comfort of a familiar land or the freedom of being an outlaw, his decision will have lasting consequences on the crew who gave him a home. [Written by MAL Rewrite]"|['Action', 'Seinen']|2020-11-07 18:15:19.073767
304|Durarara!!|8.2|24|08/01/2010|25/06/2010|Finished Airing|"In Tokyo's downtown district of Ikebukuro, amidst many strange rumors and warnings of anonymous gangs and dangerous occupants, one urban legend stands out above the rest—the existence of a headless ""Black Rider"" who is said to be seen driving a jet-black motorcycle through the city streets. Mikado Ryuugamine has always longed for the excitement of the city life, and an invitation from a childhood friend convinces him to move to Tokyo. Witnessing the Black Rider on his first day in the city, his wishes already seem to have been granted. But as supernatural events begin to occur, ordinary citizens like himself, along with Ikebukuro's most colorful inhabitants, are mixed up in the commotion breaking out in their city. [Written by MAL Rewrite] "|['Action', 'Mystery', 'Supernatural']|2020-11-07 18:15:21.894064
305|One Piece Film: Z|8.2|1|15/12/2012||Finished Airing|"The Straw Hat Pirates enter the rough seas of the New World in search of the hidden treasures of the Pirate King, Gol D. Roger－One Piece. On their voyage, the pirates come across a terrifying, powerful man, former Marine Admiral Z. Z is accused of having stolen the ""Dyna Stones"", weapons believed to have the power to shake up the New World. The Marine Headquarters believes Z is about to use it to end the pirate era, and with it, the lives of many innocent people. In fear of such a phenomenal event, marines start to take action against the former admiral. Even if it means stumbling upon marines and the navy, the Straw Hat Pirates decided to chase after Z and stop him from causing havoc. As they continue to embark on their ventures, the pirates bump into new and familiar acquaintances."|['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen']|2020-11-07 18:15:24.309420
306|Shokugeki no Souma: San no Sara|8.2|12|04/10/2017|20/12/2017|Finished Airing|The Moon Festival is Tootsuki Academy's annual gourmet gala, where students compete against each other to earn the most profit through selling their cuisine of choice. But for Souma Yukihira, it is also his first opportunity to challenge the Elite Ten, the supreme council that rules over the academy.   However, this is only the beginning of Souma's war against the Elite Ten; a nefarious plot is underway that will provide Souma with the challenge he desires but will also shake the very foundations of Tootsuki Academy itself. [Written by MAL Rewrite]|['Ecchi', 'School', 'Shounen']|2020-11-07 18:15:26.635415
307|Non Non Biyori Repeat|8.19|12|07/07/2015|22/09/2015|Finished Airing|Far from the hustle and bustle of urban life, and with only a single candy store and bus route to its name, the rural Asahigaoka is certainly not a place for everyone. Nevertheless, the village's children still manage to cheerfully spend their days exploring and having fun in the wilderness around them. One such child, Renge Miyauchi, the youngest of the group, looks forward to the entrance ceremony of the upcoming school year, signalling her entry into first grade and the beginning of her elementary school life. Attending the only school in town, Renge and her friends, seventh grader Natsumi Koshigaya and her eighth grade sister Komari, make the most out of their rural lifestyle, playing and studying everyday. Meanwhile, fifth grader Hotaru Ichijou has just moved to Asahigaoka from Tokyo, unaware of the numerous adventures and memories that await her.  [Written by MAL Rewrite]|['Comedy', 'School', 'Seinen', 'Slice of Life']|2020-11-07 18:15:29.007933
308|One Piece Film: Strong World|8.19|1|12/12/2009||Finished Airing|"Upon hearing news that islands in East Blue are being destroyed, Monkey D. Luffy and his crew go to investigate. On their way, however, an outlandish pirate ship appears out of the sky, helmed by the infamous pirate Shiki ""the Golden Lion""—a man who ate the Float-Float Fruit and the first ever prisoner to escape from Impel Down. In his quest to defeat the World Government, Shiki kidnaps Nami to be his own navigator and sends the rest of the Straw Hat Pirates to his floating islands as hostages, leaving her in a dilemma. Separated in a land under Shiki's absolute control, Luffy and his crew must survive the mystifying terrain in order to bring back their navigator and friend. [Written by MAL Rewrite]"|['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen']|2020-11-07 18:15:31.458511
309|One Piece Movie 14: Stampede|8.19|1|09/08/2019||Finished Airing|The world's greatest exposition of the pirates, by the pirates, for the pirates—the Pirates Festival. Luffy and the rest of the Straw Hat Crew receive an invitation from its host Buena Festa who is known as the Master of Festivities. They arrive to find a venue packed with glamorous pavilions and many pirates including the ones from the Worst Generation. The place is electric. (Source: ANN)|['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen', 'Super Power']|2020-11-07 18:15:33.937046
310|Shoujo Kakumei Utena|8.19|39|02/04/1997|24/12/1997|Finished Airing|After meeting a traveling prince who consoled her after the deaths of her parents, Utena Tenjou vowed to become a prince herself. The prince left Utena only with a ring bearing a strange rose crest and a promise that she would meet him again some day. A few years later, Utena attends Ootori Academy, where she is drawn into a dangerous game. Duelists with rings matching Utena's own compete for a unique prize: the Rose Bride, Anthy Himemiya, and her mysterious powers. When Utena wins Anthy in a duel, she realizes that if she is to free Anthy and discover the secrets behind Ootori Academy, she has only one option: to revolutionize the world. Shoujo Kakumei Utena blends surrealist imagery and ideas with complex allegories and metaphors to create a unique coming-of-age story with themes including idealism, illusions, adulthood, and identity.  [Written by MAL Rewrite]|['Comedy', 'Drama', 'Fantasy', 'Mystery', 'Psychological', 'Shoujo']|2020-11-07 18:15:37.059285
311|Shoujo Shuumatsu Ryokou|8.19|12|06/10/2017|22/12/2017|Finished Airing|Amid the desolate remains of a once-thriving city, only the rumbling of a motorbike breaks the cold winter silence. Its riders, Chito and Yuuri, are the last survivors in the war-torn city. Scavenging old military sites for food and parts, the two girls explore the wastelands and speculate about the old world to pass the time. Chito and Yuuri each occasionally struggle with the looming solitude, but when they have each other, sharing the weight of being two of the last humans becomes a bit more bearable. Between Yuuri's clumsy excitement and Chito's calm composure, their dark days get a little brighter with shooting practice, new books, and snowball fights on the frozen battlefield.  Among a scenery of barren landscapes and deserted buildings, Shoujo Shuumatsu Ryokou tells the uplifting tale of two girls and their quest to find hope in a bleak and dying world. [Written by MAL Rewrite]|['Adventure', 'Mystery', 'Sci-Fi', 'Slice of Life']|2020-11-07 18:15:40.098595
312|Asobi Asobase|8.19|12|08/07/2018|23/09/2018|Finished Airing|"During recess, Olivia, a foreign transfer student who doesn't know English, plays a game of ""look-the-other-way"" with Hanako Honda, a loud-mouthed airhead. Their rowdy behavior spurs the ire of Kasumi Nomura, a deadpan loner constantly teased by her older sister for her tendency to lose games. Not willing to compete, Kasumi declines Olivia's offer to join the fun, but eventually gets involved anyway and dispenses her own brand of mischief. Soon, a strange friendship blossoms between the peculiar trio, and they decide to form the ""Pastime Club,"" where they are free to resume their daily hijinks.  Whether it be failing to learn English, trying desperately to become popular, or getting caught by teachers at the wrong time, school life will never be boring when the girls of Asobi Asobase are up to their hilarious antics. [Written by MAL Rewrite]"|['Comedy', 'School']|2020-11-07 18:15:43.175851
313|Detective Conan Movie 20: The Darkest Nightmare|8.19|1|16/04/2016||Finished Airing|"On a dark night, the Japanese police is raided by a spy. Different countries' intelligence agencies—such as England's MI6, Germany's BND, and America's CIA—as well as the FBI's secret files are going to be taken, but public safety officers lead by Tooru Amuro arrive just in time. The spy steals a car and escapes. The spy and Amuro are then locked in a dead heat on the highway, and just as it is about to cause an accident with multiple cars, the spy's car is hit by FBI agent Shuichi Akai's rifle bullet and falls of the roadway. The next day, Conan and his friends go to a newly-remodeled aquarium in Tokyo. Under the main attraction, a Ferris wheel, Conan finds an attractive woman alone and injured. Her left and right eyes are different colors. But the woman is in a state of amnesia where she doesn't even remember her own name, and the cellphone she's carrying is broken. Conan and his friends promise to help her regain her memory, so they stay with her. Throughout all this, Vermouth is watching behind the scenes. Afterwards, she pulls out a silencer and speaks into an attached intercom, ""It's as planned, Gin."""|['Action', 'Mystery', 'Police', 'Shounen']|2020-11-07 18:15:45.399305
314|Fullmetal Alchemist|8.19|51|04/10/2003|02/10/2004|Finished Airing|Edward Elric, a young, brilliant alchemist, has lost much in his twelve-year life: when he and his brother Alphonse try to resurrect their dead mother through the forbidden act of human transmutation, Edward loses his brother as well as two of his limbs. With his supreme alchemy skills, Edward binds Alphonse's soul to a large suit of armor. A year later, Edward, now promoted to the fullmetal alchemist of the state, embarks on a journey with his younger brother to obtain the Philosopher's Stone. The fabled mythical object is rumored to be capable of amplifying an alchemist's abilities by leaps and bounds, thus allowing them to override the fundamental law of alchemy: to gain something, an alchemist must sacrifice something of equal value. Edward hopes to draw into the military's resources to find the fabled stone and restore his and Alphonse's bodies to normal. However, the Elric brothers soon discover that there is more to the legendary stone than meets the eye, as they are led to the epicenter of a far darker battle than they could have ever imagined. [Written by MAL Rewrite]|['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Military', 'Shounen']|2020-11-07 18:15:47.950908
315|Kanata no Astra|8.19|12|03/07/2019|18/09/2019|Finished Airing|In the year 2063, space travel is feasible and commercially available. As the cheerful Aries Spring arrives at the spaceport to attend a camp on the distant planet McPa, her purse is suddenly snatched by a reckless thief. Luckily, the athletic Kanata Hoshijima is able to retrieve it for her, and Aries soon discovers that he is among the group of teenagers who will be travelling with her on the excursion as team B-5.  Upon arriving at their campsite, the group's trip takes a turn for the worse when a strange sphere of black light sucks them into the vast reaches of outer space. Stranded with seemingly no hope, they find an abandoned ship nearby that provides them with the means to return home. However, they soon discover that they are not as close to their campsite as they initially thought, but are in fact thousands of light-years away from home. With this realization, the nine members must cautiously manage their resources, maintain their strength, and unite as one to conquer the darkness of space together. While the reason behind their trip's sudden obstruction remains unknown, they nevertheless embark on the treacherous voyage back home aboard their new ship, the Astra. [Written by MAL Rewrite]|['Sci-Fi', 'Adventure', 'Space', 'Shounen']|2020-11-07 18:15:50.463763
316|Karakai Jouzu no Takagi-san 2|8.19|12|07/07/2019|22/09/2019|Finished Airing|Even after spending a considerable amount of time with Takagi, Nishikata is still struggling to find a perfect plan to defeat the expert teaser. A battle of wits, a contest of physical prowess, a test of courage—any strategy he employs to expose her weaknesses is to no avail. On the contrary, Nishikata's pitiful attempts only reveal more of his own flaws, which Takagi takes advantage of to become increasingly daring in her teasing attempts. To make things worse for Nishikata, rumors about him and Takagi may have spread in class due to the frequent interactions between them. However, the optimistic Nishikata believes that wisdom comes with age and that as the days go by, his experience with her constant teasing will eventually bear fruit, leading him to the awaited moment of victory. Thus, Nishikata continues to strive for the seemingly impossible—to outsmart Takagi and make her blush with embarrassment. [Written by MAL Rewrite] |['Slice of Life', 'Comedy', 'Romance', 'School', 'Shounen']|2020-11-07 18:15:52.654107
317|Katekyo Hitman Reborn!|8.19|203|07/10/2006|25/09/2010|Finished Airing|"There is no putting it lightly—Tsunayoshi Sawada is just no good. He is clumsy, talentless, and desperately in love with the school idol Kyouko Sasagawa, a girl so completely out of his league. Dubbed ""Loser Tsuna"" by his classmates, he seems to be the very personification of failure in the guise of a middle-schooler. Tsuna's boring life takes an extraordinary twist when he encounters the mysterious Reborn, who happens to be a hitman... and shockingly, a baby! Sent from the strongest Mafia family in Italy, Reborn is assigned the daunting mission of preparing the dull middle schooler to succeed the ninth boss of the notorious Vongola family, who is on the brink of retirement. The dull boy has a grueling road ahead, but with the help of his new criminal affiliates and his peculiar home tutor, perhaps even Loser Tsuna can achieve greatness. [Written by MAL Rewrite]"|['Action', 'Comedy', 'Shounen', 'Super Power']|2020-11-07 18:15:55.146378
318|Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's|8.19|1|14/07/2012||Finished Airing|Six months have passed since the events in the previous movie. Fate has returned to Uminari City with Lindy as her legal guardian and is living the life of a normal elementary schoolgirl along with Nanoha and her friends. The reunion between the two new-found friends is cut short, however, when they are assaulted by four ancient magic users who identify themselves as the Wolkenritter. As the motives behind the actions of the Wolkenritter become clear, Nanoha and Fate find themselves in a race against time to stop the reactivation of a highly dangerous artifact known as The Book of Darkness. (Source: ANN)|['Action', 'Magic', 'Comedy', 'Sci-Fi', 'Drama']|2020-11-07 18:15:57.383379
